FID,address,new_address,confirm,suspect,district,date,lng,lat,gaode_lon,gaode_lat,gps_lon,gps_lat
695,江北社区,江北社区(江汉北路),4,1,江汉区,2020/2/14,114.284176,30.594671,114.277643,30.588787,114.2722263,30.59123701
737,正街社区,正街社区(北湖正街),22,20,江汉区,2020/2/15,114.279444,30.606306,114.27293,30.600275,114.2675144,30.60272496
797,和祥里社区,和祥里社区,23,46,江汉区,2020/2/16,114.268155,30.635512,114.261581,30.629529,114.2561642,30.63197449
798,凯旋家园,凯旋佳园,3,2,江汉区,2020/2/16,114.248097,30.619618,114.24179,30.613214,114.2363633,30.61566777
878,唐蔡社区,唐蔡社区,34,26,江汉区,2020/2/18,114.280918,30.62451,114.273897,30.618456,114.2684795,30.62089781
976,花山街杏园,杏园F座,17,1,江汉区,2020/2/21,114.528063,30.5449,114.283227,30.606572,114.2778052,30.60900891
989,东方帝园,东方帝园,5,9,江汉区,2020/2/21,114.265765,30.624132,114.259239,30.617867,114.2538228,30.62031829
991,唐家墩街西桥社区,西桥社区,58,81,江汉区,2020/2/21,114.284843,30.617656,114.280629,30.610919,114.2752087,30.61335715
992,馨苑小区,馨苑小区,6,1,江汉区,2020/2/21,114.260468,30.633764,114.254007,30.627684,114.2485881,30.63013261
1039,姑嫂树社区,园丁苑小区,55,11,江汉区,2020/2/22,114.25954,30.64166,114.25899,30.632576,114.2535724,30.63502125
1098,横堤社区,横堤社区,33,20,江汉区,2020/2/23,114.271384,30.604689,114.266564,30.602692,114.2611496,30.60514575
1157,循礼社区,循礼社区,20,12,江汉区,2020/2/24,114.288139,30.591591,114.281225,30.585813,114.2758064,30.58826032
1158,电业社区,电力社区(妙墩路),30,10,江汉区,2020/2/24,114.27006,30.591532,114.260463,30.590105,114.2550494,30.59256683
34,武汉天地御江苑,御江苑(黄浦大街),5,0,江岸区,2020/2/8,114.319213,30.614957,114.312696,30.609239,114.3072393,30.61162919
35,常阳永清城,常阳·永清城,12,0,江岸区,2020/2/8,114.314207,30.615161,114.307696,30.609465,114.3022466,30.61186405
54,荷花池,荷花池小区,2,0,江岸区,2020/2/9,114.500715,30.504688,114.286912,30.60193,114.2814876,30.60436419
77,东立国际,东立国际,12,36,江岸区,2020/2/9,114.320945,30.632217,114.312675,30.624474,114.307217,30.626858
79,常青国际小区,国际百纳,8,0,江岸区,2020/2/9,114.238973,30.627841,114.283617,30.63788,114.2781922,30.64030349
93,湖边坊社区,湖边坊社区,14,28,江岸区,2020/2/9,114.301906,30.608089,114.295615,30.602324,114.2901818,30.60474576
160,统建新干线小区,统建新干线,2,2,江岸区,2020/2/10,114.345824,30.671912,114.33944,30.665758,114.3339354,30.66807351
162,统建新干线小区,统建新干线,2,0,江岸区,2020/2/10,114.345824,30.671912,114.33944,30.665758,114.3339354,30.66807351
